"urls","Назва","Підписів","Успішна_лог","Дата","Завершена","Категорія"
"31","https://petition.kievcity.gov.ua/petition/?pid=7018","Заборонити обладнання інкасаторських автомобілів синіми проблисковими маячкамм та сиреною",38,FALSE,"2017-11-20",FALSE,"Транспорт"
"32","https://petition.kievcity.gov.ua/petition/?pid=7015","ПРОЕКТ ОБЛАШТУВАННЯ МУНIЦИПАЛЬНИХ ДУШОВИХ,З ВИДАЧЕЙ ГУМАНIТАРНОГО,ЧИСТОГО ВБРАННЯ ДЛЯ БЕЗХАТЧЕНКIВ У МIСТI КИЄВI.",64,FALSE,"2017-11-20",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"33","https://petition.kievcity.gov.ua/petition/?pid=7013","Заборонити спалювання та отоплення будь-яких приміщень вогнем, який виділяє дим та забруднює навколишнє повітря і погіршує здоров'я людей, що проживають в межах накопичення диму.",29,FALSE,"2017-11-17",FALSE,"Житлово-комунальна інфраструктура та відходи"
"34","https://petition.kievcity.gov.ua/petition/?pid=7012","Зробити пенсіонерам платний проїзд у громадському транспорті в час-пік.",791,FALSE,"2017-11-17",FALSE,"Транспорт"
"35","https://petition.kievcity.gov.ua/petition/?pid=7011","Створити мережу сучасних муніципальних вбиралень у м. Києві",180,FALSE,"2017-11-17",FALSE,"Інше"
"36","https://petition.kievcity.gov.ua/petition/?pid=7010","Обязать компании, поставляющие ЖКУ, формировать и отправлять квитанции на оплату до 10 числа",115,FALSE,"2017-11-17",FALSE,"Житлово-комунальна інфраструктура та відходи"
"37","https://petition.kievcity.gov.ua/petition/?pid=7009","Увеличить штрафы за безбилетный проезд",51,FALSE,"2017-11-17",FALSE,"Транспорт"
"38","https://petition.kievcity.gov.ua/petition/?pid=7008","Створити притулок для тварин.",170,FALSE,"2017-11-17",FALSE,"Благоустрій, довкілля, тварини"
"39","https://petition.kievcity.gov.ua/petition/?pid=7007","Комплексно облаштувати площу біля метро Славутич",69,FALSE,"2017-11-17",FALSE,"Житлово-комунальна інфраструктура та відходи"
"40","https://petition.kievcity.gov.ua/petition/?pid=7006","Зробити тротуар до метро Іподром! Зараз люди ходять просто проїжджею частиною від вулиці Ломоносова до метро Іподром. Вночі взагалі водії не бачать на обочині людей, що може призвести до ДТП.",612,FALSE,"2017-11-17",FALSE,"Дорожнє господарство та паркування"
"41","https://petition.kievcity.gov.ua/petition/?pid=7005","Ругулювання руху вантажного транспорту в межах міста Києва",55,FALSE,"2017-11-17",FALSE,"Транспорт"
"42","https://petition.kievcity.gov.ua/petition/?pid=7002","Вимагаемо щоб в столиці на новогодні свята головною ялинкою держави в центрі Киева була природне ялинкове дерево .",25,FALSE,"2017-11-17",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"43","https://petition.kievcity.gov.ua/petition/?pid=7001","Візьмемо контроль за ремонтом доріг в свої руки!",35,FALSE,"2017-11-17",FALSE,"Дорожнє господарство та паркування"
"44","https://petition.kievcity.gov.ua/petition/?pid=7000","ВІДНОВИТИ АСФАЛЬТНЕ ПОКРИТТЯВіДКРИТИ ВІЗД У ДВІР та ПРОЇЗД НА ДОРОЗІ БІЛЯ БУДИНКУ",13,FALSE,"2017-11-17",FALSE,"Дорожнє господарство та паркування"
"45","https://petition.kievcity.gov.ua/petition/?pid=6994","Забезпечити належний контроль",21,FALSE,"2017-11-14",FALSE,"Житлово-комунальна інфраструктура та відходи"
"46","https://petition.kievcity.gov.ua/petition/?pid=6996","Заборонити будувати в Києві  жилі дома  вище 10 поверхів, а також  розпочинати  все будівництво  без  затвердженного  генерального плану забудови м. Київ.",125,FALSE,"2017-11-14",FALSE,"Містобудування"
"47","https://petition.kievcity.gov.ua/petition/?pid=6986","Недопустити міграцію незаконних МАФІВ.",43,FALSE,"2017-11-14",FALSE,"МАФи та стихійна торгівля"
"48","https://petition.kievcity.gov.ua/petition/?pid=6995","Запровадити   безкоштовне    відвідування  у  київських кінотеатрах ранкових сеансів для  школярів та студентів у вихідні дні та канікули.",321,FALSE,"2017-11-13",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"49","https://petition.kievcity.gov.ua/petition/?pid=6983","Повернути вулиці і площі Льва Толстого історичну назву: вул. і площа Володимира Опанасовича Караваєва, Людини високої моралі, вченого і хірурга, одного з перших почесних громадян Києва.",60,FALSE,"2017-11-13",FALSE,"Перейменування вулиць"
"50","https://petition.kievcity.gov.ua/petition/?pid=6981","ЗАКРИТИ ЗООПАРК У КИЄВІ!",123,FALSE,"2017-11-13",FALSE,"Благоустрій, довкілля, тварини"
"51","https://petition.kievcity.gov.ua/petition/?pid=6979","Захист довкiлля! Не рубати 110-рiчне дерево за для святкування Нового року!",3990,FALSE,"2017-11-10",FALSE,"Благоустрій, довкілля, тварини"
"52","https://petition.kievcity.gov.ua/petition/?pid=6978","Зберегти довкiлля! Не рубати 110-рiчне дерево за для святкування Нового року.",606,FALSE,"2017-11-10",FALSE,"Інше"
"53","https://petition.kievcity.gov.ua/petition/?pid=6977","Розробити  та використовувати ефективний механізм боротьби з самовільним захопленням юридичними особами місць загального користування під парковку власних автомобілів. Кияни підтримайте!",119,FALSE,"2017-11-10",FALSE,"Інше"
"54","https://petition.kievcity.gov.ua/petition/?pid=6976","Остановить уничножение шедевров модернизма Киева!",2533,FALSE,"2017-11-10",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"55","https://petition.kievcity.gov.ua/petition/?pid=6972","Вирішити питання знесення незаконної споруди-каплиці УПЦ МП-Десятинного чоловічого монастиря Пресвятої Богородиці  на території Національного музея історії України(далі НМІУ)",2492,FALSE,"2017-11-10",FALSE,"Містобудування"
"56","https://petition.kievcity.gov.ua/petition/?pid=6971","Повернути вул.Героїв Сталінграда її першопочаткову назву Набережна Славутича",184,FALSE,"2017-11-10",FALSE,"Перейменування вулиць"
"57","https://petition.kievcity.gov.ua/petition/?pid=6970","Запровадити односторонній рух на Татарці",11,FALSE,"2017-11-10",FALSE,"Транспорт"
"58","https://petition.kievcity.gov.ua/petition/?pid=6969","Перейменувати вулицю Ванди Василевської на вулицю імені Леха Качинського",14,FALSE,"2017-11-10",FALSE,"Перейменування вулиць"
"59","https://petition.kievcity.gov.ua/petition/?pid=6968","Запретить остекление балконов на фасадах исторических и архитектурных памятников.",1419,FALSE,"2017-11-10",FALSE,"Житлово-комунальна інфраструктура та відходи"
"60","https://petition.kievcity.gov.ua/petition/?pid=6967","система общения людей с ограниченными возможностями общения с службой спасения.",38,FALSE,"2017-11-10",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"61","https://petition.kievcity.gov.ua/petition/?pid=6961","Альтернатива Киевэнерго для киевлян",154,FALSE,"2017-11-08",FALSE,"Житлово-комунальна інфраструктура та відходи"
"62","https://petition.kievcity.gov.ua/petition/?pid=6960","Заборона шкільної форми.",101,FALSE,"2017-11-08",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"63","https://petition.kievcity.gov.ua/petition/?pid=6959","Відмовитися від придбання польських трамваїв.",33,FALSE,"2017-11-07",FALSE,"Транспорт"
"64","https://petition.kievcity.gov.ua/petition/?pid=6958","провести благоустрій совських озер,котрі самі древні на території европи,почистити,розбити на їх берегах парк облагородити.",126,FALSE,"2017-11-07",FALSE,"Благоустрій, довкілля, тварини"
"65","https://petition.kievcity.gov.ua/petition/?pid=6957","Київській державній адміністрації і особисто меру міста забезпечити бистру заміну табличок старих назв вулиць на нові.",22,FALSE,"2017-11-07",FALSE,"Житлово-комунальна інфраструктура та відходи"
"66","https://petition.kievcity.gov.ua/petition/?pid=6956","Провести конкурс щодо розробки проекту відновлення Військового Микільського собору у Києві",33,FALSE,"2017-11-07",FALSE,"Соціальна сфера (освіта, охорона здоров’я, соц. захист та ін.)"
"67","https://petition.kievcity.gov.ua/petition/?pid=6955","Защитить людей проживающих на Березняках цыган, и их воровства.",74,FALSE,"2017-11-07",FALSE,"Інше"
"68","https://petition.kievcity.gov.ua/petition/?pid=6954","Відновити розворот на вулиці Саперно-Слобідська в напрямку Південного мосту",56,FALSE,"2017-11-07",FALSE,"Транспорт"
"69","https://petition.kievcity.gov.ua/petition/?pid=6951","Встановити світлофор на переході від ТЦ ""Квадрат"" (вул. Білоруська, 2) до зупинки трамваю № 14, 15 та маршрутних автобусів.",44,FALSE,"2017-11-07",FALSE,"Дорожнє господарство та паркування"
"70","https://petition.kievcity.gov.ua/petition/?pid=6948","Світлофори біля шляхопроводу НИВКИ",25,FALSE,"2017-11-07",FALSE,"Дорожнє господарство та паркування"
